0	1	mikroCPIC1618.exe -MSF -DBG -pP16F877A -DL -O11111114 -fo20 -N"C:\Users\yaram\Documents\elec_water\Elec_water.mcppi" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Defs\" -SP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Uses\P16\" -SP"C:\Users\yaram\Documents\elec_water\" -IP"C:\Users\Public\Documents\Mikroelektronika\mikroC PRO for PIC\Uses\P16\" -IP"C:\Users\yaram\Documents\elec_water\" "Elec_water.c" "Timer_Interrupt.c" "periph_Inti.c" "sevenSeg.c" "Set_Temp.c" "Temp_Sensor.c" "E2PROM.c" "__Lib_Math.mcl" "__Lib_MathDouble.mcl" "__Lib_System.mcl" "__Lib_Delays.mcl" "__Lib_CType.mcl" "__Lib_CStdlib.mcl" "__Lib_CMath.mcl" "__Lib_MemManager.mcl" "__Lib_Sprinti.mcl" "__Lib_Sprintl.mcl" "__Lib_Time.mcl" "__Lib_Trigonometry.mcl" "__Lib_Button.mcl" "__Lib_Keypad4x4.mcl" "__Lib_Manchester.mcl" "__Lib_OneWire.mcl" "__Lib_PS2.mcl" "__Lib_Sound.mcl" "__Lib_SoftI2C.mcl" "__Lib_SoftSPI.mcl" "__Lib_SoftUART.mcl" "__Lib_EEPROM.mcl" "__Lib_FLASH_RW.mcl" "__Lib_I2C_c34.mcl" "__Lib_SPI_c345.mcl" "__Lib_PortExpander.mcl" "__Lib_CF.mcl" "__Lib_GlcdFonts.mcl" "__Lib_Glcd.mcl" "__Lib_LcdConsts.mcl" "__Lib_Lcd.mcl" "__Lib_RS485.mcl" "__Lib_S1D13700.mcl" "__Lib_T6963C.mcl" "__Lib_SPIGlcd.mcl" "__Lib_SPILcd.mcl" "__Lib_SPILcd8.mcl" "__Lib_SPIT6963C.mcl" "__Lib_EthEnc28j60.mcl" "__Lib_EthEnc24j600.mcl"	 
diagnostics: 0	122	Compilation Started	utiles.h
diagnostics: 256	123	Compiled Successfully	Elec_water.c
diagnostics: 0	122	Compilation Started	utiles.h
diagnostics: 19	123	Compiled Successfully	Timer_Interrupt.c
diagnostics: 0	122	Compilation Started	utiles.h
diagnostics: 29	123	Compiled Successfully	periph_Inti.c
diagnostics: 0	122	Compilation Started	utiles.h
diagnostics: 26	123	Compiled Successfully	sevenSeg.c
diagnostics: 0	122	Compilation Started	utiles.h
diagnostics: 40	123	Compiled Successfully	Set_Temp.c
diagnostics: 0	122	Compilation Started	utiles.h
diagnostics: 35	123	Compiled Successfully	Temp_Sensor.c
diagnostics: 0	122	Compilation Started	eeprom.h
diagnostics: 70	123	Compiled Successfully	E2PROM.c
diagnostics: 0	127	All files Compiled in 328 ms	 
diagnostics: 0	125	Project Linked Successfully	Elec_water.mcppi
diagnostics: 0	128	Linked in 109 ms	 
diagnostics: 0	129	Project 'Elec_water.mcppi' completed: 500 ms	 
diagnostics: 0	103	Finished successfully: 17 Jul 2020, 13:34:49	Elec_water.mcppi
